ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
RSP,divergence,top,2024-03-28,extreme,H2,5,4,False,True,pos,0.01759461533919826,-0.0019398389714503205,0.019534454310648583,0.01991631157590168,1
RSP,divergence,top,2024-03-28,extreme,H2,10,4,False,True,pos,0.04363228434787747,-0.0039090265635026,0.04754131091138007,0.04674918200952495,1
RSP,divergence,top,2024-03-28,extreme,H2,20,4,False,True,pos,0.0409753793469918,-0.007739324749472312,0.04871470409646411,0.039900254296494214,1
RSP,1S,1S,2024-08-30,confirmation,H2,1,3,False,True,pos,-0.009576002307470466,-0.00038557326903472115,-0.009190429038435744,-0.00932633749875232,0
RSP,1S,1S,2024-08-30,confirmation,H2,3,3,False,True,pos,-0.01840207672339189,-0.001165791703621749,-0.01723628501977014,-0.017606271464794772,0
RSP,1S,1S,2024-08-30,confirmation,H2,5,3,False,True,pos,-0.027343524661090246,-0.0019398389714503205,-0.025403685689639924,-0.02584432809545913,0
RSP,1S,1S,2024-08-30,confirmation,H2,10,3,False,True,pos,-0.032540426095355235,-0.0039090265635026,-0.028631399531852633,-0.03047244750927205,0
RSP,1S,1S,2024-08-30,confirmation,H2,20,3,False,True,pos,-0.031729636597047195,-0.007739324749472312,-0.023990311847574882,-0.027169694446060315,0
RSP,1S,1S,2024-08-30,extreme,H2,1,4,False,True,pos,0.012850400864274691,-0.00038557326903472115,0.013235974133309413,0.013429208143331964,1
RSP,1S,1S,2024-08-30,extreme,H2,3,4,False,True,pos,0.020299084551088975,-0.001165791703621749,0.021464876254710726,0.02176106227427175,1
RSP,1S,1S,2024-08-30,extreme,H2,5,4,False,True,pos,0.02143628816739651,-0.0019398389714503205,0.023376127138846833,0.02375798440409993,1
RSP,1S,1S,2024-08-30,extreme,H2,10,4,False,True,pos,-0.0023312674134303712,-0.0039090265635026,0.0015777591500722287,0.0007856302482171082,0
RSP,1S,1S,2024-08-30,extreme,H2,20,4,False,True,pos,-0.022711678825299675,-0.007739324749472312,-0.014972354075827362,-0.023786803875797267,0
RSP,3B,3B,2024-09-11,confirmation,H2,1,3,True,False,pos,0.005119290657924047,0.00038557326903472115,0.004733717388889326,0.0048696258492059,1
RSP,3B,3B,2024-09-11,confirmation,H2,3,3,True,False,pos,0.00036668607502132744,0.001165791703621749,-0.0007991056286004215,-0.0004291191835757907,1
RSP,3B,3B,2024-09-11,confirmation,H2,5,3,True,False,pos,0.012361354784251821,0.0019398389714503205,0.0104215158128015,0.010862158218620705,1
RSP,3B,3B,2024-09-11,confirmation,H2,10,3,True,False,pos,0.010324524248722211,0.0039090265635026,0.006415497685219611,0.008256545662639028,1
RSP,3B,3B,2024-09-11,confirmation,H2,20,3,True,False,pos,0.028995470824411118,0.007739324749472312,0.021256146074938805,0.024435528673424238,1
RSP,3B,3B,2024-09-11,extreme,H2,1,3,True,False,neg,0.006210819596006445,0.00038557326903472115,0.005825246326971724,0.005961154787288298,1
RSP,3B,3B,2024-09-11,extreme,H2,3,3,True,False,neg,0.023218017181332762,0.001165791703621749,0.02205222547771101,0.022422211922735642,1
RSP,3B,3B,2024-09-11,extreme,H2,5,3,True,False,neg,0.022811701880659507,0.0019398389714503205,0.020871862909209185,0.02131250531502839,1
RSP,3B,3B,2024-09-11,extreme,H2,10,3,True,False,neg,0.030328910942371667,0.0039090265635026,0.026419884378869066,0.028260932356288484,1
RSP,3B,3B,2024-09-11,extreme,H2,20,3,True,False,neg,0.04204182939152146,0.007739324749472312,0.03430250464204915,0.03748188724053458,1
RSP,divergence,top,2024-09-27,confirmation,H2,1,4,False,True,neg,0.007784062272498171,-0.00038557326903472115,0.008169635541532893,0.008362869551555444,1
RSP,divergence,top,2024-09-27,confirmation,H2,3,4,False,True,neg,-0.0014000112000895903,-0.001165791703621749,-0.00023421949646784137,6.196652309318454e-05,0
RSP,divergence,top,2024-09-27,confirmation,H2,5,4,False,True,neg,-0.007448059584476807,-0.0019398389714503205,-0.005508220613026487,-0.005126363347773388,0
RSP,divergence,top,2024-09-27,confirmation,H2,10,4,False,True,neg,-0.01848014784118268,-0.0039090265635026,-0.014571121277680081,-0.015363250179535201,0
RSP,divergence,top,2024-09-27,confirmation,H2,20,4,False,True,neg,0.01215209721677768,-0.007739324749472312,0.019891421966249993,0.01107697216628009,1
RSP,divergence,top,2024-09-27,extreme,H2,1,3,False,True,pos,-0.0012854188788911092,-0.00038557326903472115,-0.0008998456098563881,-0.0010357540701729621,0
RSP,divergence,top,2024-09-27,extreme,H2,3,3,False,True,pos,0.005085787738221659,-0.001165791703621749,0.0062515794418434075,0.0058815929968187766,1
RSP,divergence,top,2024-09-27,extreme,H2,5,3,False,True,pos,0.0020119599843514413,-0.0019398389714503205,0.003951798955801762,0.0035111565499825565,1
RSP,divergence,top,2024-09-27,extreme,H2,10,3,False,True,pos,-0.005421114402280214,-0.0039090265635026,-0.0015120878387776138,-0.0033531358161970307,0
RSP,divergence,top,2024-09-27,extreme,H2,20,3,False,True,pos,0.004582797742133882,-0.007739324749472312,0.012322122491606195,0.00914273989312076,1
RSP,divergence,top,2024-10-15,confirmation,H2,1,2,False,False,neg,0.0047496647295485195,-0.00038557326903472115,0.00513523799858324,0.005053368548525349,1
RSP,divergence,top,2024-10-15,confirmation,H2,3,2,False,False,neg,0.002123379526151159,-0.001165791703621749,0.0032891712297729078,0.0026287367229377995,1
RSP,divergence,top,2024-10-15,confirmation,H2,5,2,False,False,neg,0.014919535091640457,-0.0019398389714503205,0.01685937406309078,0.014627787094771957,1
RSP,divergence,top,2024-10-15,confirmation,H2,10,2,False,False,neg,-0.023021904336164578,-0.0039090265635026,-0.019112877772661976,-0.023088861277628114,0
RSP,divergence,top,2024-10-15,confirmation,H2,20,2,False,False,neg,-0.028609745194456915,-0.007739324749472312,-0.020870420444984602,-0.024034112805083968,0
RSP,divergence,top,2024-10-15,extreme,H2,1,3,False,True,neg,-0.0067627494456761195,-0.00038557326903472115,-0.006377176176641399,-0.006513084636957972,0
RSP,divergence,top,2024-10-15,extreme,H2,3,3,False,True,neg,-0.008148558758314772,-0.001165791703621749,-0.0069827670546930235,-0.0073527534997176545,0
RSP,divergence,top,2024-10-15,extreme,H2,5,3,False,True,neg,0.004933481152993413,-0.0019398389714503205,0.006873320124443734,0.006432677718624528,1
RSP,divergence,top,2024-10-15,extreme,H2,10,3,False,True,neg,0.010088691796008908,-0.0039090265635026,0.013997718359511508,0.012156670382092092,1
